"Županije","Mjesec","Tip","2016 Domaći","2016 Strani","2017 Domaći","2017 Strani","2018 Domaći","2018 Strani"
"ZAGREBAČKA","I","Dolasci",1731,1700,1781,1812,1648,2121
"ZAGREBAČKA","I","Noćenja",3950,3159,3268,4316,3283,4703
"ZAGREBAČKA","II","Dolasci",1634,1302,1606,1849,1732,1727
"ZAGREBAČKA","II","Noćenja",3115,2525,2938,3786,3435,3343
"ZAGREBAČKA","III","Dolasci",1461,1666,1891,2144,1933,3130
"ZAGREBAČKA","III","Noćenja",3149,3197,3765,4632,3954,5706
"ZAGREBAČKA","IV","Dolasci",1892,3442,1899,4396,2651,6209
"ZAGREBAČKA","IV","Noćenja",3577,5539,3652,7031,4350,9768
"ZAGREBAČKA","V","Dolasci",1988,4805,2120,5999,2465,10257
"ZAGREBAČKA","V","Noćenja",3632,8024,3932,9653,4142,16073
"ZAGREBAČKA","VI","Dolasci",1988,5583,2121,7960,2448,11606
"ZAGREBAČKA","VI","Noćenja",3545,8762,4165,12492,4284,17427
"ZAGREBAČKA","VII","Dolasci",1662,8960,1683,9267,1844,13706
"ZAGREBAČKA","VII","Noćenja",3285,12870,4009,13855,3755,20561
"ZAGREBAČKA","VIII","Dolasci",1956,9518,1596,9815,2057,14367
"ZAGREBAČKA","VIII","Noćenja",3915,14283,3345,15206,4313,23103
"ZAGREBAČKA","IX","Dolasci",2133,6467,2109,8443,3038,12805
"ZAGREBAČKA","IX","Noćenja",3569,9123,3795,12643,5231,20245
"ZAGREBAČKA","X","Dolasci",2467,3702,2305,4451,3305,8779
"ZAGREBAČKA","X","Noćenja",4334,6288,4588,6949,5453,12525
"ZAGREBAČKA","XI","Dolasci",2096,2292,2177,2646,2764,3881
"ZAGREBAČKA","XI","Noćenja",4043,5032,4350,4896,5452,7105
"ZAGREBAČKA","XII","Dolasci",2914,2168,3290,3141,3819,4658
"ZAGREBAČKA","XII","Noćenja",5198,4141,5881,5663,6570,7825
"KRAPINSKO-ZAGORSKA","I","Dolasci",6703,2207,7988,2507,8862,3088
"KRAPINSKO-ZAGORSKA","I","Noćenja",18615,5440,21388,6806,23735,8640
